total_paragraphs,paragraphs_with_extractions,paragraphs_processed,selected_with_extractions,coverage,cost_savings,filtered_cost,keywords,keyword_size,dataset
15456,5462,10648,4686,0.8579274990845844,0.31107660455486535,0.3577728,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated', 'upgrade', 'upper', 'upside', 'upstream', 'usd', 'use', 'used', 'using', 'usual']",48,train
15456,5462,10648,4686,0.8579274990845844,0.31107660455486535,0.3577728,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated', 'upgrade', 'upper', 'upside', 'upstream', 'usd', 'use', 'used', 'using', 'usual', 'usually']",49,train
15456,5462,10669,4688,0.8582936653240572,0.30971790890269146,0.3584784,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated', 'upgrade', 'upper', 'upside', 'upstream', 'usd', 'use', 'used', 'using', 'usual', 'usually', 'wait']",50,train
15456,5462,10669,4688,0.8582936653240572,0.30971790890269146,0.3584784,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated', 'upgrade', 'upper', 'upside', 'upstream', 'usd', 'use', 'used', 'using', 'usual', 'usually', 'wait', 'waiting']",51,train
15456,5462,10683,4690,0.8586598315635299,0.30881211180124213,0.3589488,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated', 'upgrade', 'upper', 'upside', 'upstream', 'usd', 'use', 'used', 'using', 'usual', 'usually', 'wait', 'waiting', 'walk']",52,train
15456,5462,10736,4700,0.8604906627608935,0.30538302277432705,0.3607296,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated', 'upgrade', 'upper', 'upside', 'upstream', 'usd', 'use', 'used', 'using', 'usual', 'usually', 'wait', 'waiting', 'walk', 'win']",53,train
15456,5462,10736,4700,0.8604906627608935,0.30538302277432705,0.3607296,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated', 'upgrade', 'upper', 'upside', 'upstream', 'usd', 'use', 'used', 'using', 'usual', 'usually', 'wait', 'waiting', 'walk', 'win', 'winter']",54,train
15456,5462,10737,4701,0.8606737458806298,0.30531832298136635,0.3607632,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated', 'upgrade', 'upper', 'upside', 'upstream', 'usd', 'use', 'used', 'using', 'usual', 'usually', 'wait', 'waiting', 'walk', 'win', 'winter', 'wireless']",55,train
15456,5462,10783,4718,0.863786158916148,0.30234213250517594,0.3623088,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated', 'upgrade', 'upper', 'upside', 'upstream', 'usd', 'use', 'used', 'using', 'usual', 'usually', 'wait', 'waiting', 'walk', 'win', 'winter', 'wireless', 'won']",56,train
15456,5462,10783,4718,0.863786158916148,0.30234213250517594,0.3623088,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated', 'upgrade', 'upper', 'upside', 'upstream', 'usd', 'use', 'used', 'using', 'usual', 'usually', 'wait', 'waiting', 'walk', 'win', 'winter', 'wireless', 'won', 'wondering']",57,train
